customer_id,customer_name,customer_tier,region,channel_preference,payment_terms,account_manager
CUST00314,Hunter Trading,SMB,Eastern Cape,Wholesale,Net 30,A. Petersen
CUST00315,"Ellis, Bautista and Burns",Key Account,Eastern Cape,Ecommerce,Net 45,A. Petersen
CUST00316,Watts Trading,SMB,Western Cape,Wholesale,Net 60,S. Naidoo
CUST00317,"Coleman, Allen and Neal",Enterprise,Gauteng,Distributor,Net 30,A. Petersen
CUST00318,Wall Group,Enterprise,Limpopo,Retail,Net 30,N. Dlamini
CUST00319,Jones Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 60,S. Naidoo
CUST00320,Hughes and Sons,Enterprise,Gauteng,Wholesale,Net 45,T. Mokoena
CUST00321,Hamilton Group,Enterprise,Eastern Cape,Retail,Net 45,A. Petersen
CUST00322,Herrera Trading,SMB,Eastern Cape,Retail,Net 30,S. Naidoo
CUST00323,Evans Trading,SMB,Gauteng,Ecommerce,Net 15,S. Naidoo
CUST00324,Robertson Trading,SMB,Eastern Cape,Wholesale,Net 45,L. van Wyk
CUST00325,Mckinney Trading,Mid-Market,Gauteng,Retail,Net 30,S. Naidoo
CUST00326,Jordan Group,Enterprise,Free State,Distributor,COD,T. Mokoena
CUST00327,James Trading,SMB,Gauteng,Retail,Net 15,L. van Wyk
CUST00328,Cohen Trading,Mid-Market,Free State,Distributor,COD,N. Dlamini
CUST00329,Bell Ltd,Enterprise,Eastern Cape,Retail,Net 60,A. Petersen
CUST00330,Rivera Trading,SMB,Western Cape,Ecommerce,Net 45,N. Dlamini
CUST00331,Rojas Trading,Mid-Market,Western Cape,Distributor,Net 15,N. Dlamini
CUST00332,Sullivan Trading,SMB,KwaZulu-Natal,Retail,Net 60,A. Petersen
CUST00333,Allen Trading,SMB,Free State,Retail,Net 45,L. van Wyk
CUST00334,Stone Trading,SMB,Eastern Cape,Ecommerce,Net 30,N. Dlamini
CUST00335,Guerra Trading,SMB,Gauteng,Ecommerce,Net 15,N. Dlamini
CUST00336,Green Trading,Mid-Market,Limpopo,Ecommerce,Net 15,N. Dlamini
CUST00337,Adams Trading,SMB,KwaZulu-Natal,Wholesale,Net 45,L. van Wyk
CUST00338,Greer Trading,Mid-Market,Western Cape,Retail,Net 45,N. Dlamini
CUST00339,Solomon Trading,SMB,Gauteng,Wholesale,COD,T. Mokoena
CUST00340,Jimenez and Sons,Enterprise,Free State,Distributor,Net 60,L. van Wyk
CUST00341,Rojas Trading,SMB,Limpopo,Wholesale,Net 30,T. Mokoena
CUST00342,"Freeman, Castro and Ortega",Enterprise,Gauteng,Ecommerce,Net 30,N. Dlamini
CUST00343,Turner Trading,Mid-Market,Eastern Cape,Distributor,Net 45,L. van Wyk
CUST00344,Bass Trading,SMB,Western Cape,Distributor,Net 45,T. Mokoena
CUST00345,Kramer-Bridges,Enterprise,Free State,Ecommerce,COD,L. van Wyk
CUST00346,Peters Trading,SMB,Free State,Wholesale,Net 60,T. Mokoena
CUST00347,Alvarez Trading,SMB,Gauteng,Ecommerce,Net 30,T. Mokoena
CUST00348,Sanchez Trading,SMB,Limpopo,Distributor,Net 15,L. van Wyk
CUST00349,Willis Trading,SMB,Gauteng,Ecommerce,Net 60,L. van Wyk
CUST00350,Cook Trading,SMB,Gauteng,Retail,Net 45,T. Mokoena
CUST00351,Rivera Trading,SMB,Limpopo,Wholesale,COD,S. Naidoo
CUST00352,"Lang, Roman and Wilson",Enterprise,Limpopo,Distributor,COD,S. Naidoo
CUST00353,Graham Trading,SMB,Limpopo,Ecommerce,Net 30,L. van Wyk
CUST00354,"Jimenez, Jones and Robinson",Enterprise,Gauteng,Wholesale,Net 45,T. Mokoena
CUST00355,Walker Trading,SMB,Gauteng,Wholesale,Net 60,T. Mokoena
CUST00356,Erickson Trading,SMB,Limpopo,Ecommerce,Net 15,N. Dlamini
CUST00357,Combs Trading,SMB,Western Cape,Distributor,Net 60,L. van Wyk
CUST00358,Anderson-Lewis,Enterprise,Gauteng,Ecommerce,Net 30,L. van Wyk
CUST00359,Smith Trading,SMB,Free State,Ecommerce,Net 45,S. Naidoo
CUST00360,Ruiz Trading,SMB,Gauteng,Distributor,Net 15,L. van Wyk
CUST00361,"Valentine, Peck and Bowman",Key Account,Limpopo,Ecommerce,Net 30,N. Dlamini
CUST00362,Mack Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,S. Naidoo
CUST00363,Castillo Trading,Mid-Market,Free State,Wholesale,COD,S. Naidoo
CUST00364,Wagner Trading,Mid-Market,Western Cape,Distributor,COD,T. Mokoena
CUST00365,Gonzalez Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 60,S. Naidoo
CUST00366,Johnson Trading,Mid-Market,Gauteng,Retail,Net 30,L. van Wyk
CUST00367,Gutierrez-Guerra,Key Account,Limpopo,Distributor,Net 60,L. van Wyk
CUST00368,White Trading,Mid-Market,Free State,Retail,Net 15,T. Mokoena
CUST00369,Jones Trading,Mid-Market,Eastern Cape,Distributor,Net 60,T. Mokoena
CUST00370,Scott Trading,SMB,Free State,Wholesale,Net 15,L. van Wyk
CUST00371,Shelton Trading,SMB,Gauteng,Retail,Net 60,S. Naidoo
CUST00372,Harrison Trading,SMB,Western Cape,Ecommerce,Net 15,T. Mokoena
CUST00373,Burns Ltd,Enterprise,Free State,Ecommerce,COD,T. Mokoena
CUST00374,Winters Trading,SMB,Free State,Ecommerce,Net 15,T. Mokoena
CUST00375,Bradley Trading,Mid-Market,Gauteng,Wholesale,Net 60,A. Petersen
CUST00376,Ellis Trading,SMB,Limpopo,Ecommerce,Net 60,N. Dlamini
CUST00377,"Morris, Sims and Rollins",Enterprise,Gauteng,Retail,COD,A. Petersen
CUST00378,Marks Trading,SMB,Western Cape,Distributor,Net 60,N. Dlamini
CUST00379,Blackburn Trading,SMB,Limpopo,Ecommerce,Net 30,L. van Wyk
CUST00380,Campos Trading,SMB,Limpopo,Distributor,Net 30,L. van Wyk
CUST00381,Bentley Trading,SMB,Gauteng,Wholesale,Net 45,L. van Wyk
CUST00382,Walker Trading,SMB,Western Cape,Ecommerce,Net 60,S. Naidoo
CUST00383,Skinner Trading,SMB,Limpopo,Ecommerce,Net 30,L. van Wyk
CUST00384,Herrera Trading,SMB,KwaZulu-Natal,Retail,Net 30,S. Naidoo
CUST00385,Melton Trading,SMB,KwaZulu-Natal,Distributor,Net 15,S. Naidoo
CUST00386,Kline Trading,SMB,KwaZulu-Natal,Distributor,Net 60,L. van Wyk
CUST00387,Harrison Trading,SMB,Western Cape,Ecommerce,Net 60,T. Mokoena
CUST00388,Floyd Trading,SMB,Western Cape,Distributor,Net 60,L. van Wyk
CUST00389,Marshall Trading,SMB,KwaZulu-Natal,Distributor,COD,N. Dlamini
CUST00390,Brown Group,Enterprise,Free State,Distributor,Net 15,S. Naidoo
CUST00391,Wilson Trading,Mid-Market,Gauteng,Retail,Net 30,L. van Wyk
CUST00392,Hood Trading,Mid-Market,Limpopo,Distributor,Net 30,A. Petersen
CUST00393,Blake Trading,SMB,Gauteng,Distributor,Net 15,T. Mokoena
CUST00394,Mccoy Trading,Mid-Market,Eastern Cape,Ecommerce,COD,L. van Wyk
CUST00395,Johnson Trading,SMB,Free State,Wholesale,Net 30,A. Petersen
CUST00396,Hughes Trading,SMB,Eastern Cape,Distributor,Net 60,T. Mokoena
CUST00397,Hernandez PLC,Enterprise,Free State,Retail,Net 15,N. Dlamini
CUST00398,Matthews Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,S. Naidoo
CUST00399,Davidson Trading,Mid-Market,Eastern Cape,Retail,COD,N. Dlamini
CUST00400,Mckinney Trading,SMB,KwaZulu-Natal,Distributor,Net 60,L. van Wyk
CUST00401,Murray Trading,SMB,Free State,Wholesale,Net 30,A. Petersen
CUST00402,Fischer Trading,SMB,Eastern Cape,Ecommerce,Net 60,T. Mokoena
CUST00403,Clark Trading,SMB,Free State,Distributor,Net 60,T. Mokoena
CUST00404,Brandt Trading,SMB,Gauteng,Ecommerce,Net 30,N. Dlamini
CUST00405,"Soto, Weiss and Harris",Key Account,Free State,Ecommerce,COD,A. Petersen
CUST00406,Gordon Trading,SMB,Limpopo,Wholesale,COD,A. Petersen
CUST00407,Reed Trading,SMB,Free State,Distributor,Net 15,S. Naidoo
CUST00408,Thomas Trading,SMB,Limpopo,Retail,Net 15,N. Dlamini
CUST00409,Griffin Trading,SMB,Eastern Cape,Wholesale,Net 45,S. Naidoo
CUST00410,Bennett Trading,SMB,Free State,Distributor,COD,S. Naidoo
CUST00411,Li Trading,SMB,Free State,Ecommerce,Net 45,A. Petersen
CUST00412,Webb Trading,SMB,Western Cape,Distributor,Net 60,T. Mokoena
CUST00413,Lopez Trading,SMB,Limpopo,Ecommerce,Net 60,L. van Wyk
CUST00414,Woods Trading,SMB,Western Cape,Ecommerce,Net 60,T. Mokoena
CUST00415,Green Trading,SMB,KwaZulu-Natal,Ecommerce,Net 15,L. van Wyk
CUST00416,Herrera Trading,SMB,KwaZulu-Natal,Ecommerce,Net 30,N. Dlamini
CUST00417,Johnson Trading,Mid-Market,Free State,Distributor,Net 45,T. Mokoena
CUST00418,Kirby LLC,Key Account,Western Cape,Ecommerce,COD,T. Mokoena
CUST00419,Castillo-Lam,Key Account,Gauteng,Ecommerce,Net 45,T. Mokoena
CUST00420,Harrington Trading,Mid-Market,Western Cape,Wholesale,Net 60,T. Mokoena
CUST00421,"Wells, Myers and Garcia",Enterprise,Limpopo,Ecommerce,Net 15,N. Dlamini
CUST00422,Alvarez Trading,Mid-Market,Free State,Wholesale,Net 15,N. Dlamini
CUST00423,Weaver Trading,Mid-Market,Free State,Wholesale,Net 15,N. Dlamini
CUST00424,Lucas Trading,SMB,KwaZulu-Natal,Distributor,COD,S. Naidoo
CUST00425,Wilkinson Trading,SMB,Free State,Wholesale,Net 45,L. van Wyk
CUST00426,Patterson Trading,SMB,Western Cape,Ecommerce,Net 30,T. Mokoena
CUST00427,Gill Trading,Mid-Market,Gauteng,Wholesale,Net 60,N. Dlamini
CUST00428,Thomas Inc,Enterprise,Western Cape,Distributor,Net 15,N. Dlamini
CUST00429,"Hayes, Young and Arroyo",Key Account,Eastern Cape,Distributor,Net 15,T. Mokoena
CUST00430,Gentry-Mack,Enterprise,Gauteng,Ecommerce,Net 60,A. Petersen
CUST00431,Morrison Trading,SMB,KwaZulu-Natal,Ecommerce,Net 45,A. Petersen
CUST00432,Brown Trading,SMB,Western Cape,Distributor,Net 30,S. Naidoo
CUST00433,Soto-Boyd,Enterprise,KwaZulu-Natal,Wholesale,Net 45,T. Mokoena
CUST00434,Hickman Trading,Mid-Market,Gauteng,Ecommerce,Net 30,A. Petersen
CUST00435,Vargas Trading,Mid-Market,Western Cape,Wholesale,Net 60,L. van Wyk
CUST00436,Wilson and Sons,Enterprise,Free State,Ecommerce,COD,L. van Wyk
CUST00437,Meyer Trading,Mid-Market,Western Cape,Wholesale,Net 45,T. Mokoena
CUST00438,Cain-Mcpherson,Enterprise,Gauteng,Ecommerce,Net 45,S. Naidoo
CUST00439,Rodriguez Trading,SMB,KwaZulu-Natal,Ecommerce,Net 30,A. Petersen
CUST00440,Rogers Trading,Mid-Market,Gauteng,Ecommerce,Net 30,S. Naidoo
CUST00441,Mcgee Trading,SMB,Gauteng,Distributor,Net 30,S. Naidoo
CUST00442,Fernandez Trading,SMB,Free State,Ecommerce,COD,T. Mokoena
CUST00443,Hernandez Trading,SMB,Western Cape,Wholesale,Net 15,L. van Wyk
CUST00444,Johnson Trading,SMB,Limpopo,Ecommerce,Net 45,A. Petersen
CUST00445,"Patel, Barrett and Adams",Enterprise,Free State,Wholesale,Net 15,A. Petersen
CUST00446,"Anderson, Rogers and Murphy",Enterprise,Gauteng,Distributor,Net 60,T. Mokoena
CUST00447,Gutierrez Trading,SMB,Free State,Retail,COD,A. Petersen
CUST00448,Daniel Inc,Enterprise,Western Cape,Wholesale,Net 15,T. Mokoena
CUST00449,Smith-Zimmerman,Enterprise,Eastern Cape,Retail,Net 15,A. Petersen
CUST00450,Wheeler Trading,SMB,Free State,Distributor,COD,L. van Wyk
CUST00451,West Trading,SMB,Eastern Cape,Distributor,Net 60,N. Dlamini
CUST00452,Carter Trading,Mid-Market,Limpopo,Ecommerce,COD,L. van Wyk
CUST00453,Gallagher Trading,SMB,Gauteng,Wholesale,Net 60,N. Dlamini
CUST00454,Gutierrez Trading,SMB,KwaZulu-Natal,Retail,Net 60,N. Dlamini
CUST00455,"Smith, Gamble and Miller",Enterprise,Gauteng,Distributor,COD,T. Mokoena
CUST00456,Farmer Trading,SMB,Western Cape,Distributor,Net 30,L. van Wyk
CUST00457,Banks Trading,SMB,Eastern Cape,Distributor,COD,A. Petersen
CUST00458,Edwards Trading,SMB,KwaZulu-Natal,Retail,Net 15,A. Petersen
CUST00459,Duffy Trading,SMB,Western Cape,Wholesale,COD,N. Dlamini
CUST00460,Graham-Becker,Key Account,Eastern Cape,Distributor,Net 60,L. van Wyk
CUST00461,"Bonilla, King and Arellano",Enterprise,Western Cape,Distributor,Net 30,S. Naidoo
CUST00462,Tate Trading,SMB,Limpopo,Retail,COD,L. van Wyk
CUST00463,Anderson Trading,Mid-Market,Gauteng,Wholesale,Net 15,N. Dlamini
CUST00464,Lloyd Trading,SMB,Gauteng,Distributor,Net 60,N. Dlamini
CUST00465,Prince Trading,SMB,Gauteng,Distributor,Net 45,S. Naidoo
CUST00466,Mejia Trading,SMB,Gauteng,Wholesale,Net 60,T. Mokoena
CUST00467,Page Trading,SMB,Limpopo,Ecommerce,Net 60,A. Petersen
CUST00468,Johnson Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 30,S. Naidoo
CUST00469,Morris Inc,Key Account,Free State,Wholesale,Net 45,T. Mokoena
CUST00470,Parks Trading,SMB,Free State,Wholesale,Net 45,A. Petersen
CUST00471,Thomas Trading,SMB,KwaZulu-Natal,Distributor,Net 60,T. Mokoena
CUST00472,Booth Trading,Mid-Market,Eastern Cape,Wholesale,Net 30,L. van Wyk
CUST00473,Beard Trading,SMB,Free State,Distributor,Net 15,S. Naidoo
CUST00474,Martin Trading,SMB,Limpopo,Wholesale,Net 45,N. Dlamini
CUST00475,Dunn Trading,Mid-Market,Eastern Cape,Wholesale,Net 45,S. Naidoo
CUST00476,Downs Trading,SMB,KwaZulu-Natal,Retail,Net 45,T. Mokoena
CUST00477,Lewis Trading,SMB,Limpopo,Wholesale,COD,T. Mokoena
CUST00478,Jones Trading,SMB,Free State,Retail,COD,S. Naidoo
CUST00479,"Reed, Bell and Duncan",Enterprise,Free State,Wholesale,Net 45,S. Naidoo
CUST00480,Wilkinson and Sons,Enterprise,KwaZulu-Natal,Ecommerce,COD,S. Naidoo
CUST00481,Martinez-Nelson,Enterprise,Limpopo,Retail,Net 45,S. Naidoo
CUST00482,Francis Trading,Mid-Market,Limpopo,Wholesale,Net 45,S. Naidoo
CUST00483,Nolan Trading,Mid-Market,KwaZulu-Natal,Distributor,Net 45,A. Petersen
CUST00484,Lewis Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 30,A. Petersen
CUST00485,Benson Ltd,Enterprise,Eastern Cape,Retail,Net 45,T. Mokoena
CUST00486,"Nixon, Sanders and Flynn",Enterprise,KwaZulu-Natal,Ecommerce,Net 45,N. Dlamini
CUST00487,Rodriguez Trading,Mid-Market,Western Cape,Wholesale,COD,T. Mokoena
CUST00488,Gray Trading,Mid-Market,Free State,Distributor,Net 30,S. Naidoo
CUST00489,Lowery Trading,SMB,Western Cape,Distributor,Net 60,S. Naidoo
CUST00490,Price Trading,SMB,Limpopo,Ecommerce,Net 30,L. van Wyk
CUST00491,"Martin, Fowler and Thornton",Key Account,Limpopo,Distributor,Net 45,S. Naidoo
CUST00492,Johnson Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 15,A. Petersen
CUST00493,Powell Trading,SMB,Free State,Retail,Net 60,N. Dlamini
CUST00494,Mora Ltd,Enterprise,Gauteng,Retail,COD,L. van Wyk
CUST00495,Fitzpatrick Trading,SMB,Limpopo,Wholesale,COD,S. Naidoo
CUST00496,Maxwell Trading,SMB,Free State,Distributor,Net 30,N. Dlamini
CUST00497,Cantu Trading,Mid-Market,Limpopo,Distributor,Net 45,N. Dlamini
CUST00498,Warner Trading,SMB,Free State,Distributor,COD,N. Dlamini
CUST00499,Johnson Trading,SMB,KwaZulu-Natal,Ecommerce,COD,A. Petersen
CUST00500,"Torres, Hammond and Case",Enterprise,Limpopo,Distributor,Net 15,N. Dlamini
CUST00501,Hayden-Sanchez,Enterprise,Free State,Wholesale,Net 15,S. Naidoo
CUST00502,Brooks Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 30,L. van Wyk
CUST00503,Estrada Trading,SMB,Eastern Cape,Distributor,Net 60,S. Naidoo
CUST00504,"Perez, Rivera and Robles",Key Account,Western Cape,Ecommerce,COD,N. Dlamini
CUST00505,Palmer Trading,SMB,Eastern Cape,Distributor,Net 60,L. van Wyk
CUST00506,Hamilton Trading,SMB,Gauteng,Wholesale,COD,L. van Wyk
CUST00507,Decker-Obrien,Enterprise,Limpopo,Ecommerce,Net 60,N. Dlamini
CUST00508,"Thompson, Porter and Green",Enterprise,Gauteng,Wholesale,Net 15,A. Petersen
CUST00509,Snyder Trading,SMB,Gauteng,Retail,Net 30,A. Petersen
CUST00510,Walker Trading,Mid-Market,Gauteng,Wholesale,Net 30,N. Dlamini
CUST00511,Wong Ltd,Key Account,Free State,Wholesale,Net 45,N. Dlamini
CUST00512,Huynh Trading,SMB,Free State,Wholesale,Net 60,L. van Wyk
CUST00513,Stewart Trading,Mid-Market,Free State,Ecommerce,Net 45,S. Naidoo
CUST00514,Thomas Trading,Mid-Market,Limpopo,Retail,Net 60,T. Mokoena
CUST00515,Boone Trading,SMB,Eastern Cape,Wholesale,COD,T. Mokoena
CUST00516,Clark Trading,Mid-Market,Free State,Distributor,Net 30,N. Dlamini
CUST00517,Olsen Trading,Mid-Market,Eastern Cape,Distributor,Net 15,T. Mokoena
CUST00518,Vaughn Trading,Mid-Market,Eastern Cape,Distributor,Net 15,A. Petersen
CUST00519,Carr Trading,Mid-Market,Gauteng,Ecommerce,Net 15,N. Dlamini
CUST00520,Johnson Trading,SMB,Western Cape,Distributor,Net 15,L. van Wyk
CUST00521,Pope Trading,SMB,Gauteng,Retail,COD,T. Mokoena
CUST00522,Fowler Trading,SMB,KwaZulu-Natal,Retail,Net 15,N. Dlamini
CUST00523,Wilson Trading,SMB,Eastern Cape,Distributor,COD,N. Dlamini
CUST00524,Garcia Trading,SMB,Free State,Retail,Net 60,A. Petersen
CUST00525,Chen Trading,Mid-Market,Eastern Cape,Retail,Net 30,L. van Wyk
CUST00526,Hale Trading,SMB,Gauteng,Wholesale,Net 60,A. Petersen
CUST00527,Molina Trading,SMB,Eastern Cape,Wholesale,Net 15,T. Mokoena
CUST00528,Vaughn Trading,SMB,Eastern Cape,Wholesale,COD,S. Naidoo
CUST00529,Russell Trading,SMB,Eastern Cape,Ecommerce,Net 45,N. Dlamini
CUST00530,Levy Trading,SMB,Western Cape,Distributor,Net 60,A. Petersen
CUST00531,Mcguire Trading,SMB,Gauteng,Wholesale,Net 30,N. Dlamini
CUST00532,Carroll Inc,Enterprise,KwaZulu-Natal,Distributor,Net 30,L. van Wyk
CUST00533,Fisher Trading,SMB,Limpopo,Wholesale,Net 30,T. Mokoena
CUST00534,Myers Trading,Mid-Market,Limpopo,Wholesale,Net 45,T. Mokoena
CUST00535,Warner Trading,SMB,Eastern Cape,Ecommerce,Net 30,L. van Wyk
CUST00536,Ford-Brown,Key Account,Western Cape,Ecommerce,Net 45,T. Mokoena
CUST00537,"Vang, Koch and Zimmerman",Enterprise,Eastern Cape,Ecommerce,COD,A. Petersen
CUST00538,Russell Trading,SMB,Free State,Wholesale,Net 60,N. Dlamini
CUST00539,"Keller, Thompson and Smith",Key Account,Eastern Cape,Wholesale,Net 45,T. Mokoena
CUST00540,Zuniga-Gutierrez,Enterprise,Gauteng,Distributor,Net 45,S. Naidoo
CUST00541,Foster Trading,Mid-Market,Western Cape,Ecommerce,Net 15,L. van Wyk
CUST00542,Scott Trading,Mid-Market,Gauteng,Distributor,Net 60,L. van Wyk
CUST00543,Hughes Trading,Mid-Market,Free State,Distributor,Net 60,N. Dlamini
CUST00544,Jenkins Trading,Mid-Market,KwaZulu-Natal,Retail,COD,S. Naidoo
CUST00545,Torres Trading,Mid-Market,KwaZulu-Natal,Wholesale,Net 60,N. Dlamini
CUST00546,Jackson Trading,Mid-Market,Limpopo,Distributor,Net 30,L. van Wyk
CUST00547,Nguyen Trading,SMB,Gauteng,Ecommerce,Net 15,A. Petersen
CUST00548,Cox Trading,Mid-Market,Free State,Wholesale,Net 45,T. Mokoena
CUST00549,Brown Trading,SMB,Limpopo,Wholesale,Net 30,N. Dlamini
CUST00550,Barnes Trading,SMB,KwaZulu-Natal,Distributor,COD,N. Dlamini
CUST00551,Solis-Sanchez,Enterprise,Limpopo,Wholesale,Net 30,T. Mokoena
CUST00552,White Trading,SMB,Western Cape,Distributor,Net 30,L. van Wyk
CUST00553,Sanders Trading,SMB,Limpopo,Distributor,Net 30,N. Dlamini
CUST00554,Thomas Trading,SMB,Limpopo,Retail,COD,T. Mokoena
CUST00555,Figueroa Trading,Mid-Market,Limpopo,Wholesale,Net 15,A. Petersen
CUST00556,Walton Trading,SMB,Western Cape,Ecommerce,Net 60,L. van Wyk
CUST00557,"Trujillo, Petty and Wallace",Key Account,Western Cape,Distributor,Net 15,S. Naidoo
CUST00558,Flores Trading,Mid-Market,Eastern Cape,Distributor,COD,A. Petersen
CUST00559,Grant and Sons,Enterprise,Eastern Cape,Distributor,Net 45,N. Dlamini
CUST00560,Allen Trading,Mid-Market,Western Cape,Ecommerce,COD,A. Petersen
CUST00561,Bonilla Trading,SMB,Free State,Wholesale,Net 30,T. Mokoena
CUST00562,Meyers Trading,SMB,Gauteng,Ecommerce,Net 45,A. Petersen
CUST00563,"Hull, Hendricks and Turner",Key Account,KwaZulu-Natal,Distributor,Net 60,L. van Wyk
CUST00564,Shannon Trading,Mid-Market,KwaZulu-Natal,Ecommerce,Net 45,A. Petersen
CUST00565,Dean Trading,SMB,Limpopo,Ecommerce,Net 60,A. Petersen
CUST00566,Myers Trading,SMB,Western Cape,Ecommerce,COD,S. Naidoo
CUST00567,Turner Trading,SMB,Western Cape,Ecommerce,Net 15,A. Petersen
CUST00568,Morris Trading,SMB,Free State,Wholesale,Net 60,L. van Wyk
CUST00569,Thompson Trading,SMB,Eastern Cape,Wholesale,Net 60,S. Naidoo
CUST00570,Cooke Trading,SMB,Western Cape,Wholesale,Net 30,L. van Wyk
CUST00571,Nelson Trading,Mid-Market,KwaZulu-Natal,Retail,Net 45,S. Naidoo
CUST00572,Olson Trading,SMB,Eastern Cape,Distributor,Net 45,L. van Wyk
CUST00573,Johnson Trading,SMB,Eastern Cape,Distributor,Net 15,N. Dlamini
CUST00574,Romero Trading,Mid-Market,Western Cape,Ecommerce,COD,T. Mokoena
CUST00575,Marshall Trading,SMB,KwaZulu-Natal,Wholesale,Net 45,A. Petersen
CUST00576,Rodriguez Trading,Mid-Market,Eastern Cape,Retail,Net 60,N. Dlamini
CUST00577,Calhoun Trading,SMB,Free State,Ecommerce,Net 60,N. Dlamini
CUST00578,Walker Trading,Mid-Market,Eastern Cape,Wholesale,Net 45,N. Dlamini
CUST00579,Melton Trading,Mid-Market,Limpopo,Wholesale,Net 30,N. Dlamini
CUST00580,James Trading,SMB,KwaZulu-Natal,Retail,Net 45,N. Dlamini
CUST00581,Nielsen Trading,Mid-Market,Western Cape,Wholesale,Net 60,T. Mokoena
CUST00582,Williams PLC,Enterprise,Free State,Distributor,Net 15,A. Petersen
CUST00583,Fitzpatrick Trading,SMB,Western Cape,Wholesale,COD,A. Petersen
CUST00584,Gonzalez Trading,SMB,KwaZulu-Natal,Wholesale,Net 30,T. Mokoena
CUST00585,Williams Trading,SMB,KwaZulu-Natal,Retail,Net 15,L. van Wyk
CUST00586,Miller-Hernandez,Enterprise,KwaZulu-Natal,Wholesale,Net 15,S. Naidoo
CUST00587,Roach Trading,SMB,KwaZulu-Natal,Wholesale,Net 45,L. van Wyk
CUST00588,Simpson Trading,SMB,Limpopo,Ecommerce,Net 45,L. van Wyk
CUST00589,Cruz Trading,SMB,Limpopo,Retail,Net 45,A. Petersen
CUST00590,Hernandez Trading,Mid-Market,Limpopo,Ecommerce,Net 45,L. van Wyk
CUST00591,Mendez Trading,SMB,Gauteng,Retail,Net 45,T. Mokoena
CUST00592,Carter and Sons,Enterprise,Free State,Distributor,Net 15,L. van Wyk
CUST00593,Hill-Steele,Enterprise,Eastern Cape,Ecommerce,Net 30,T. Mokoena
CUST00594,Miller Trading,SMB,Free State,Wholesale,Net 60,L. van Wyk
CUST00595,Andersen Trading,Mid-Market,Limpopo,Retail,COD,N. Dlamini
CUST00596,Hayden Trading,Mid-Market,Eastern Cape,Retail,COD,S. Naidoo
CUST00597,Nunez Trading,SMB,Gauteng,Distributor,Net 15,S. Naidoo
CUST00598,"Mata, Mcintosh and Mann",Enterprise,KwaZulu-Natal,Wholesale,Net 30,N. Dlamini
CUST00599,Mccoy Trading,Mid-Market,KwaZulu-Natal,Retail,Net 30,S. Naidoo
CUST00600,Johnson Trading,SMB,Limpopo,Ecommerce,Net 15,L. van Wyk
CUST00601,Murray Trading,Mid-Market,Limpopo,Retail,COD,S. Naidoo
CUST00602,Ortiz Trading,SMB,Western Cape,Wholesale,Net 60,L. van Wyk
CUST00603,Nguyen Trading,SMB,Limpopo,Ecommerce,COD,L. van Wyk
CUST00604,Banks Trading,Mid-Market,Eastern Cape,Retail,Net 15,L. van Wyk
CUST00605,Long Trading,SMB,Gauteng,Retail,Net 30,T. Mokoena
CUST00606,Scott-Russell,Enterprise,Western Cape,Distributor,Net 15,S. Naidoo
CUST00607,Mcpherson Trading,SMB,Free State,Retail,Net 60,S. Naidoo
CUST00608,Jackson Trading,SMB,Limpopo,Wholesale,Net 15,L. van Wyk
CUST00609,Harris Trading,Mid-Market,Eastern Cape,Wholesale,COD,N. Dlamini
CUST00610,Thomas Trading,SMB,Gauteng,Distributor,Net 30,L. van Wyk
CUST00611,Lang Trading,SMB,Western Cape,Wholesale,Net 30,N. Dlamini
CUST00612,Ponce Trading,SMB,Free State,Ecommerce,COD,T. Mokoena
CUST00613,Thompson Trading,SMB,Free State,Wholesale,Net 45,T. Mokoena
CUST00614,Lawrence Trading,Mid-Market,Western Cape,Distributor,Net 45,N. Dlamini
CUST00615,Deleon Trading,SMB,Limpopo,Retail,Net 60,N. Dlamini
CUST00616,Briggs PLC,Key Account,KwaZulu-Natal,Wholesale,Net 45,A. Petersen
CUST00617,Morales Trading,SMB,Free State,Wholesale,Net 45,N. Dlamini
CUST00618,Evans Trading,SMB,Gauteng,Retail,Net 30,S. Naidoo
CUST00619,Carter Trading,SMB,Gauteng,Distributor,Net 60,T. Mokoena
CUST00620,Weeks Trading,Mid-Market,Free State,Distributor,Net 45,L. van Wyk
CUST00621,Ortiz Trading,SMB,Free State,Wholesale,Net 30,N. Dlamini
CUST00622,Valentine Trading,SMB,Free State,Wholesale,Net 15,A. Petersen
CUST00623,Howard Trading,SMB,Free State,Retail,Net 30,L. van Wyk
CUST00624,Jones Trading,Mid-Market,Western Cape,Retail,Net 15,N. Dlamini
CUST00625,"Tran, Davis and Hall",Enterprise,Gauteng,Distributor,Net 60,A. Petersen
CUST00626,Martin Trading,SMB,Limpopo,Wholesale,COD,N. Dlamini
CUST00627,Long Trading,Mid-Market,Limpopo,Retail,Net 15,L. van Wyk
CUST00628,Sparks Group,Key Account,Free State,Ecommerce,Net 15,T. Mokoena
